label,support_true,support_pred,tp,fp,fn,tn,precision,recall,f1,fn_rate,fp_rate
T1566,21,21,21,0,0,13,1.0,1.0,1.0,0.0,0.0
T1486,15,16,15,1,0,18,0.9375,1.0,0.967741935483871,0.0,0.05263157894736842
T1059,15,15,12,3,3,16,0.8,0.8,0.8000000000000002,0.2,0.15789473684210525
T1204,12,11,9,2,3,20,0.8181818181818182,0.75,0.7826086956521738,0.25,0.09090909090909091
T1105,12,18,11,7,1,15,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.08333333333333333,0.3181818181818182
T1027,10,9,8,1,2,23,0.8888888888888888,0.8,0.8421052631578948,0.2,0.041666666666666664
T1055,8,7,6,1,2,25,0.8571428571428571,0.75,0.7999999999999999,0.25,0.038461538461538464
T1547,8,5,4,1,4,25,0.8,0.5,0.6153846153846154,0.5,0.038461538461538464
T1071,8,10,5,5,3,21,0.5,0.625,0.5555555555555556,0.375,0.19230769230769232
T1190,7,9,7,2,0,25,0.7777777777777778,1.0,0.8750000000000001,0.0,0.07407407407407407
T1041,7,5,4,1,3,26,0.8,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.037037037037037035
T1140,6,10,6,4,0,24,0.6,1.0,0.7499999999999999,0.0,0.14285714285714285
T1189,6,3,3,0,3,28,1.0,0.5,0.6666666666666666,0.5,0.0
T1036,6,7,4,3,2,25,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.3333333333333333,0.10714285714285714
T1195,6,3,2,1,4,27,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.03571428571428571
T1497,5,5,4,1,1,28,0.8,0.8,0.8000000000000002,0.2,0.034482758620689655
T1083,5,3,3,0,2,29,1.0,0.6,0.7499999999999999,0.4,0.0
T1218,5,3,3,0,2,29,1.0,0.6,0.7499999999999999,0.4,0.0
T1562,5,3,3,0,2,29,1.0,0.6,0.7499999999999999,0.4,0.0
T1589,5,3,3,0,2,29,1.0,0.6,0.7499999999999999,0.4,0.0
T1005,5,2,2,0,3,29,1.0,0.4,0.5714285714285715,0.6,0.0
T1078,5,7,3,4,2,25,0.42857142857142855,0.6,0.5,0.4,0.13793103448275862
T1057,4,4,4,0,0,30,1.0,1.0,1.0,0.0,0.0
T1539,4,4,4,0,0,30,1.0,1.0,1.0,0.0,0.0
T1574,4,3,3,0,1,30,1.0,0.75,0.8571428571428571,0.25,0.0
T1555,4,4,3,1,1,29,0.75,0.75,0.75,0.25,0.03333333333333333
T1606,4,0,0,0,4,30,0.0,0.0,0.0,1.0,0.0
T1499,3,3,3,0,0,31,1.0,1.0,1.0,0.0,0.0
T1567,3,3,3,0,0,31,1.0,1.0,1.0,0.0,0.0
T1564,3,4,3,1,0,30,0.75,1.0,0.8571428571428571,0.0,0.03225806451612903
T1573,3,4,3,1,0,30,0.75,1.0,0.8571428571428571,0.0,0.03225806451612903
T1003,3,2,2,0,1,31,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1115,3,2,2,0,1,31,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1496,3,2,2,0,1,31,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1056,3,6,3,3,0,28,0.5,1.0,0.6666666666666666,0.0,0.0967741935483871
T1082,3,6,3,3,0,28,0.5,1.0,0.6666666666666666,0.0,0.0967741935483871
T1021,3,1,1,0,2,31,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1053,3,1,1,0,2,31,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1557,3,1,1,0,2,31,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1583,3,3,1,2,2,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.06451612903225806
T1001,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1586,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1592,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
