label,support_true,support_pred,tp,fp,fn,tn,precision,recall,f1,fn_rate,fp_rate
T1566,21,22,21,1,0,12,0.9545454545454546,1.0,0.9767441860465117,0.0,0.07692307692307693
T1486,15,16,15,1,0,18,0.9375,1.0,0.967741935483871,0.0,0.05263157894736842
T1059,15,18,13,5,2,14,0.7222222222222222,0.8666666666666667,0.7878787878787877,0.13333333333333333,0.2631578947368421
T1204,12,9,8,1,4,21,0.8888888888888888,0.6666666666666666,0.761904761904762,0.3333333333333333,0.045454545454545456
T1105,12,14,8,6,4,16,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.3333333333333333,0.2727272727272727
T1027,10,10,9,1,1,23,0.9,0.9,0.9,0.1,0.041666666666666664
T1055,8,5,5,0,3,26,1.0,0.625,0.7692307692307693,0.375,0.0
T1071,8,11,7,4,1,22,0.6363636363636364,0.875,0.7368421052631579,0.125,0.15384615384615385
T1547,8,3,3,0,5,26,1.0,0.375,0.5454545454545454,0.625,0.0
T1190,7,8,6,2,1,25,0.75,0.8571428571428571,0.7999999999999999,0.14285714285714285,0.07407407407407407
T1041,7,9,5,4,2,23,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.2857142857142857,0.14814814814814814
T1140,6,8,6,2,0,26,0.75,1.0,0.8571428571428571,0.0,0.07142857142857142
T1036,6,2,2,0,4,28,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1189,6,1,1,0,5,28,1.0,0.16666666666666666,0.2857142857142857,0.8333333333333334,0.0
T1195,6,1,1,0,5,28,1.0,0.16666666666666666,0.2857142857142857,0.8333333333333334,0.0
T1005,5,6,3,3,2,26,0.5,0.6,0.5454545454545454,0.4,0.10344827586206896
T1497,5,6,3,3,2,26,0.5,0.6,0.5454545454545454,0.4,0.10344827586206896
T1218,5,3,2,1,3,28,0.6666666666666666,0.4,0.5,0.6,0.034482758620689655
T1078,5,1,1,0,4,29,1.0,0.2,0.33333333333333337,0.8,0.0
T1083,5,1,1,0,4,29,1.0,0.2,0.33333333333333337,0.8,0.0
T1562,5,0,0,0,5,29,0.0,0.0,0.0,1.0,0.0
T1589,5,0,0,0,5,29,0.0,0.0,0.0,1.0,0.0
T1057,4,2,2,0,2,30,1.0,0.5,0.6666666666666666,0.5,0.0
T1555,4,6,3,3,1,27,0.5,0.75,0.6,0.25,0.1
T1539,4,1,1,0,3,30,1.0,0.25,0.4,0.75,0.0
T1574,4,0,0,0,4,30,0.0,0.0,0.0,1.0,0.0
T1606,4,0,0,0,4,30,0.0,0.0,0.0,1.0,0.0
T1499,3,3,3,0,0,31,1.0,1.0,1.0,0.0,0.0
T1496,3,2,2,0,1,31,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1056,3,5,3,2,0,29,0.6,1.0,0.7499999999999999,0.0,0.06451612903225806
T1082,3,4,2,2,1,29,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.06451612903225806
T1573,3,8,3,5,0,26,0.375,1.0,0.5454545454545454,0.0,0.16129032258064516
T1021,3,1,1,0,2,31,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1053,3,1,1,0,2,31,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1001,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1003,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1115,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1557,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1564,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1567,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1583,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1586,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
T1592,3,0,0,0,3,31,0.0,0.0,0.0,1.0,0.0
