label,support_true,support_pred,tp,fp,fn,tn,precision,recall,f1,fn_rate,fp_rate
T1027,22,22,20,2,2,7,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.2222222222222222
T1105,18,17,15,2,3,11,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.16666666666666666,0.15384615384615385
T1140,17,16,16,0,1,14,1.0,0.9411764705882353,0.9696969696969697,0.058823529411764705,0.0
T1059.003,15,15,13,2,2,14,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.125
T1078,15,11,10,1,5,15,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.3333333333333333,0.0625
T1082,15,13,10,3,5,13,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.3333333333333333,0.1875
T1106,13,13,12,1,1,17,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.05555555555555555
T1055,13,10,10,0,3,18,1.0,0.7692307692307693,0.8695652173913044,0.23076923076923078,0.0
T1070.004,12,15,9,6,3,13,0.6,0.75,0.6666666666666665,0.25,0.3157894736842105
T1005,10,0,0,0,10,21,0.0,0.0,0.0,1.0,0.0
T1003.001,9,9,9,0,0,22,1.0,1.0,1.0,0.0,0.0
T1562.001,9,10,9,1,0,21,0.9,1.0,0.9473684210526316,0.0,0.045454545454545456
T1053.005,9,9,8,1,1,21,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.045454545454545456
T1021.001,9,7,7,0,2,22,1.0,0.7777777777777778,0.8750000000000001,0.2222222222222222,0.0
T1071.001,9,8,7,1,2,21,0.875,0.7777777777777778,0.823529411764706,0.2222222222222222,0.045454545454545456
T1566.001,9,10,7,3,2,19,0.7,0.7777777777777778,0.7368421052631577,0.2222222222222222,0.13636363636363635
T1112,9,11,7,4,2,18,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.2222222222222222,0.18181818181818182
T1190,7,7,5,2,2,22,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.08333333333333333
T1083,7,8,5,3,2,21,0.625,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.125
T1204.002,7,9,5,4,2,20,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.2857142857142857,0.16666666666666666
T1574.002,6,6,6,0,0,25,1.0,1.0,1.0,0.0,0.0
T1056.001,6,4,4,0,2,25,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1057,6,5,4,1,2,24,0.8,0.6666666666666666,0.7272727272727272,0.3333333333333333,0.04
T1090,6,8,5,3,1,22,0.625,0.8333333333333334,0.7142857142857143,0.16666666666666666,0.12
T1547.001,6,3,3,0,3,25,1.0,0.5,0.6666666666666666,0.5,0.0
T1041,6,2,2,0,4,25,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1570,6,3,2,1,4,24,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.04
T1033,6,0,0,0,6,25,0.0,0.0,0.0,1.0,0.0
T1113,5,4,4,0,1,26,1.0,0.8,0.888888888888889,0.2,0.0
T1518.001,5,4,4,0,1,26,1.0,0.8,0.888888888888889,0.2,0.0
T1218.011,5,5,4,1,1,25,0.8,0.8,0.8000000000000002,0.2,0.038461538461538464
T1047,5,5,3,2,2,24,0.6,0.6,0.6,0.4,0.07692307692307693
T1110,5,5,3,2,2,24,0.6,0.6,0.6,0.4,0.07692307692307693
T1036.005,5,3,2,1,3,25,0.6666666666666666,0.4,0.5,0.6,0.038461538461538464
T1016,5,8,3,5,2,21,0.375,0.6,0.4615384615384615,0.4,0.19230769230769232
T1484.001,5,0,0,0,5,26,0.0,0.0,0.0,1.0,0.0
T1219,4,6,3,3,1,24,0.5,0.75,0.6,0.25,0.1111111111111111
T1543.003,4,3,2,1,2,26,0.6666666666666666,0.5,0.5714285714285715,0.5,0.037037037037037035
T1573.001,3,3,2,1,1,27,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.03571428571428571
T1095,3,1,1,0,2,28,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1012,3,0,0,0,3,28,0.0,0.0,0.0,1.0,0.0
T1552.001,3,0,0,0,3,28,0.0,0.0,0.0,1.0,0.0
