label,support_true,support_pred,tp,fp,fn,tn,precision,recall,f1,fn_rate,fp_rate
T1027,22,20,18,2,4,7,0.9,0.8181818181818182,0.8571428571428572,0.18181818181818182,0.2222222222222222
T1105,18,16,13,3,5,10,0.8125,0.7222222222222222,0.7647058823529411,0.2777777777777778,0.23076923076923078
T1140,17,17,16,1,1,13,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.058823529411764705,0.07142857142857142
T1078,15,13,12,1,3,15,0.9230769230769231,0.8,0.8571428571428571,0.2,0.0625
T1059.003,15,15,11,4,4,12,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.25
T1082,15,10,9,1,6,15,0.9,0.6,0.7200000000000001,0.4,0.0625
T1055,13,12,11,1,2,17,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.15384615384615385,0.05555555555555555
T1106,13,11,10,1,3,17,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.23076923076923078,0.05555555555555555
T1070.004,12,13,8,5,4,14,0.6153846153846154,0.6666666666666666,0.64,0.3333333333333333,0.2631578947368421
T1005,10,12,7,5,3,16,0.5833333333333334,0.7,0.6363636363636365,0.3,0.23809523809523808
T1003.001,9,11,9,2,0,20,0.8181818181818182,1.0,0.9,0.0,0.09090909090909091
T1021.001,9,11,9,2,0,20,0.8181818181818182,1.0,0.9,0.0,0.09090909090909091
T1053.005,9,9,8,1,1,21,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.045454545454545456
T1562.001,9,12,9,3,0,19,0.75,1.0,0.8571428571428571,0.0,0.13636363636363635
T1112,9,10,7,3,2,19,0.7,0.7777777777777778,0.7368421052631577,0.2222222222222222,0.13636363636363635
T1566.001,9,13,8,5,1,17,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.1111111111111111,0.22727272727272727
T1071.001,9,8,6,2,3,20,0.75,0.6666666666666666,0.7058823529411765,0.3333333333333333,0.09090909090909091
T1190,7,6,5,1,2,23,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.2857142857142857,0.041666666666666664
T1083,7,11,6,5,1,19,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.14285714285714285,0.20833333333333334
T1204.002,7,11,6,5,1,19,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.14285714285714285,0.20833333333333334
T1574.002,6,8,6,2,0,23,0.75,1.0,0.8571428571428571,0.0,0.08
T1056.001,6,6,5,1,1,24,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.04
T1547.001,6,4,4,0,2,25,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0
T1033,6,5,4,1,2,24,0.8,0.6666666666666666,0.7272727272727272,0.3333333333333333,0.04
T1057,6,11,6,5,0,20,0.5454545454545454,1.0,0.7058823529411764,0.0,0.2
T1090,6,8,4,4,2,21,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.16
T1041,6,10,4,6,2,19,0.4,0.6666666666666666,0.5,0.3333333333333333,0.24
T1570,6,2,2,0,4,25,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1113,5,7,5,2,0,24,0.7142857142857143,1.0,0.8333333333333333,0.0,0.07692307692307693
T1047,5,5,4,1,1,25,0.8,0.8,0.8000000000000002,0.2,0.038461538461538464
T1218.011,5,6,4,2,1,24,0.6666666666666666,0.8,0.7272727272727272,0.2,0.07692307692307693
T1016,5,10,5,5,0,21,0.5,1.0,0.6666666666666666,0.0,0.19230769230769232
T1110,5,4,3,1,2,25,0.75,0.6,0.6666666666666665,0.4,0.038461538461538464
T1036.005,5,10,4,6,1,20,0.4,0.8,0.5333333333333333,0.2,0.23076923076923078
T1518.001,5,11,4,7,1,19,0.36363636363636365,0.8,0.5000000000000001,0.2,0.2692307692307692
T1484.001,5,0,0,0,5,26,0.0,0.0,0.0,1.0,0.0
T1543.003,4,4,3,1,1,26,0.75,0.75,0.75,0.25,0.037037037037037035
T1219,4,8,4,4,0,23,0.5,1.0,0.6666666666666666,0.0,0.14814814814814814
T1012,3,4,3,1,0,27,0.75,1.0,0.8571428571428571,0.0,0.03571428571428571
T1095,3,1,1,0,2,28,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1552.001,3,1,1,0,2,28,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
T1573.001,3,1,1,0,2,28,1.0,0.3333333333333333,0.5,0.6666666666666666,0.0
